ID 	 arg1 	 arg2
P633	{SRC-PROP-DESC=[uebec], SEE-ALSO=[cultural heritage], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[identifier, uébec]}	{SRC-PROP-DESC=[Identification, number], SEE-ALSO=[Canadian Register of Historic Places], SRC-PROP-LABEL=[Répertoire, du, patrimoine, culturel], SUB-ITEM=[Cultural heritage register of Quebec]}
P634	{SRC-PROP-DESC=[team, sports]}	{SRC-PROP-DESC=[captain], SRC-PROP-LABEL=[captain]}
P635	{SRC-PROP-DESC=[Italy]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[ISTAT, ID]}
P636	{SRC-PROP-DESC=[drug, fluid, poison, body, taken], SRC-PROP-LABEL=[administration]}	{SRC-PROP-DESC=[path], SRC-PROP-LABEL=[route]}
P637	{SRC-PROP-LABEL=[ID, rotein]}	{SRC-PROP-DESC=[protein, Identifier], SRC-PROP-LABEL=[RefSeq]}
P638	{SRC-PROP-DESC=[database, DB]}	{SRC-PROP-DESC=[gene, entry], SRC-PROP-LABEL=[DB, ID]}
P639	{SRC-PROP-LABEL=[ID, RNA]}	{SRC-PROP-DESC=[RNA, Identifier], SRC-PROP-LABEL=[RefSeq]}
P640	{SRC-PROP-DESC=[database, Léonore]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Léonore, ID], SUB-ITEM=[Léonore database]}
P641	{INST-FACET=[organization, human]}	{SRC-PROP-DESC=[entity], SRC-PROP-LABEL=[sport], SUB-ITEM=[type of sport]}
P642	{INST-FACET=[qualifier]}	{}
P644	{SRC-PROP-DESC=[coordinate]}	{SRC-PROP-LABEL=[start, genomic]}
P645	{SRC-PROP-DESC=[coordinate]}	{SRC-PROP-LABEL=[end, genomic]}
P646	{SRC-PROP-DESC=[page, equivalent], INST-FACET=[authority control], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Freebase], SUB-ITEM=[Freebase identifier]}
P647	{INST-FACET=[human]}	{SRC-PROP-DESC=[player]}
P648	{SRC-PROP-DESC=[authors, editions]}	{SRC-PROP-DESC=[identifier, numeric], SRC-PROP-LABEL=[Library, identifier]}
P649	{INST-FACET=[cultural heritage], SRC-PROP-LABEL=[number, reference]}	{SRC-PROP-DESC=[National, Register, Historic], SRC-PROP-LABEL=[NRH]}
P65	{SRC-PROP-DESC=[astronomical], SRC-PROP-LABEL=[discovery, astronomical]}	{SRC-PROP-DESC=[place], SRC-PROP-LABEL=[site]}
P650	{SRC-PROP-DESC=[database, RKDartists]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[RKDartists]}
P651	{SRC-PROP-DESC=[Nederland], SRC-PROP-LABEL=[number, ortaal]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Biografisch]}
P652	{SRC-PROP-DESC=[Identifier, Ingredient]}	{SRC-PROP-DESC=[Ingredient, Identifier]}
P653	{SRC-PROP-DESC=[ubMed, Health, website]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[ubMed, Health]}
P654	{INST-FACET=[qualifier], SRC-PROP-LABEL=[location]}	{SRC-PROP-DESC=[qualifier, geographical], SRC-PROP-LABEL=[direction]}
P655	{}	{SRC-PROP-DESC=[people, organisation], SRC-PROP-LABEL=[translator]}
P656	{SRC-PROP-DESC=[Reference, Sequence, identifier], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[qualifier], SRC-PROP-LABEL=[RefSeq]}
P657	{SRC-PROP-DESC=[Substances, Chemical]}	{SRC-PROP-DESC=[chemical, identifier], SRC-PROP-LABEL=[RTECS, number], SUB-ITEM=[Registry of Toxic Effects of Chemical Substances]}
P658	{SRC-PROP-DESC=[item]}	{SRC-PROP-DESC=[songs], SRC-PROP-LABEL=[tracklist]}
P659	{SRC-PROP-DESC=[genome, assembly]}	{SRC-PROP-LABEL=[GenLoc, assembly]}
P66	{INST-FACET=[human, geographic location]}	{SRC-PROP-DESC=[place], SRC-PROP-LABEL=[home, ancestral], SUB-ITEM=[ancestral home]}
P660	{SRC-PROP-LABEL=[classification]}	{SRC-PROP-DESC=[Enzyme, Commission], SRC-PROP-LABEL=[EC]}
P661	{SRC-PROP-DESC=[Royal, Society]}	{SRC-PROP-DESC=[chemical, free, database], SRC-PROP-LABEL=[ChemSpider, ID]}
P662	{SRC-PROP-DESC=[assays, biological]}	{SRC-PROP-DESC=[database], SRC-PROP-LABEL=[ubChem, ID], SUB-ITEM=[PubChem]}
P663	{SRC-PROP-DESC=[Diagnostic, Statistical, Manual]}	{SRC-PROP-DESC=[classification], SRC-PROP-LABEL=[DSM]}
P664	{SRC-PROP-DESC=[event]}	{SRC-PROP-DESC=[person, institution], SRC-PROP-LABEL=[organizer]}
P665	{SRC-PROP-DESC=[genomes]}	{SRC-PROP-DESC=[databases], SRC-PROP-LABEL=[KEGG, ID]}
P667	{SRC-PROP-DESC=[encounters, primary, care], SRC-PROP-LABEL=[ID, 2]}	{SRC-PROP-DESC=[classification, method], SRC-PROP-LABEL=[IC, C]}
P668	{SRC-PROP-DESC=[diseases, specific, gene-releated]}	{SRC-PROP-DESC=[collection, peer-reviewed], SRC-PROP-LABEL=[GeneReviews, ID]}
P669	{SRC-PROP-DESC=[item, located, is], SUB-PROP=[geographic location], SEE-ALSO=[geographic location], INST-FACET=[geographic location]}	{SRC-PROP-DESC=[street, road], SUB-PROP=[geographic location], SEE-ALSO=[geographic location], SRC-PROP-LABEL=[street]}
P670	{SRC-PROP-DESC=[address, street], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[number], SRC-PROP-LABEL=[street, number]}
P671	{SRC-PROP-DESC=[database, Mouse, Genome, Informatics], SRC-PROP-LABEL=[ID, Genome, Informatics]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Mouse]}
P672	{SRC-PROP-DESC=[index, thesaurus]}	{SRC-PROP-DESC=[Medical, Headings, codes], SRC-PROP-LABEL=[MeSH, Code]}
