ID 	 arg1 	 arg2
P778	{SRC-PROP-DESC=[code], SRC-PROP-LABEL=[Church]}	{SRC-PROP-DESC=[Church, Sweden], SRC-PROP-LABEL=[code, Swedish]}
P779	{SRC-PROP-DESC=[Sweden]}	{SRC-PROP-DESC=[district, astoral, code], SRC-PROP-LABEL=[astoratskod, Swedish]}
P78	{SRC-PROP-DESC=[code, top-level]}	{SRC-PROP-DESC=[Internet, domain, name, system], SRC-PROP-LABEL=[domain, top-level], SUB-ITEM=[top-level domain]}
P780	{SRC-PROP-DESC=[condition, medical]}	{SRC-PROP-DESC=[symptoms, possible], SRC-PROP-LABEL=[symptoms]}
P781	{SRC-PROP-DESC=[Liechtenstein, Switzerland]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Sikart], SUB-ITEM=[SIKART]}
P782	{SRC-PROP-DESC=[NUTS, 4]}	{SRC-PROP-DESC=[unit, local, administrative], SRC-PROP-LABEL=[LAU], SUB-ITEM=[local administrative unit in the NUTS system]}
P783	{SRC-PROP-DESC=[mushroom]}	{SRC-PROP-DESC=[type], SRC-PROP-LABEL=[hymenium, type]}
P784	{SRC-PROP-LABEL=[shape, cap]}	{SRC-PROP-LABEL=[mushroom]}
P785	{SRC-PROP-DESC=[stem]}	{SRC-PROP-DESC=[hymenium], SRC-PROP-LABEL=[hymenium, attachment]}
P786	{}	{SRC-PROP-LABEL=[stipe, character]}
P787	{SRC-PROP-DESC=[print, mushroom, spore], SRC-PROP-LABEL=[color, print]}	{SRC-PROP-DESC=[color], SRC-PROP-LABEL=[spore]}
P788	{SRC-PROP-LABEL=[type, ecological]}	{SRC-PROP-LABEL=[mushroom]}
P789	{}	{SRC-PROP-DESC=[something], SRC-PROP-LABEL=[edibility]}
P790	{INST-FACET=[qualifier]}	{SRC-PROP-DESC=[item, other]}
P791	{SRC-PROP-DESC=[Organizations, Related]}	{SRC-PROP-DESC=[International, Standard, Identifier], SRC-PROP-LABEL=[ISIL, ID]}
P792	{SRC-PROP-DESC=[claim]}	{SRC-PROP-DESC=[title, number], SRC-PROP-LABEL=[chapter]}
P793	{}	{SRC-PROP-DESC=[events, significant, notable], SRC-PROP-LABEL=[event, significant]}
P794	{INST-FACET=[qualifier]}	{SRC-PROP-DESC=[qualifier, generic]}
P795	{SRC-PROP-DESC=[feature, linear]}	{SRC-PROP-DESC=[distance], SRC-PROP-LABEL=[distance]}
P796	{SRC-PROP-DESC=[measurement], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[point, zero], SRC-PROP-LABEL=[geo, datum]}
P797	{SRC-PROP-DESC=[executive, power]}	{SRC-PROP-DESC=[entity, matters], SRC-PROP-LABEL=[executive, authority]}
P798	{}	{SRC-PROP-DESC=[designation], SRC-PROP-LABEL=[designation, military]}
P799	{SRC-PROP-DESC=[United, Kingdom, Air, Ministry], SRC-PROP-LABEL=[specification]}	{SRC-PROP-DESC=[aircraft, specification], SRC-PROP-LABEL=[Air, Ministry]}
P800	{SRC-PROP-DESC=[art], INST-FACET=[human]}	{SRC-PROP-DESC=[work, notable, scientific], SRC-PROP-LABEL=[works, notable], SUB-ITEM=[work]}
P802	{SRC-PROP-DESC=[person], INVS-PROP=[teacher], INST-FACET=[human]}	{SRC-PROP-DESC=[student, notable], INVS-PROP=[human], SRC-PROP-LABEL=[student], SUB-ITEM=[student]}
P803	{SRC-PROP-DESC=[person, academic], INST-FACET=[human]}	{SRC-PROP-DESC=[professorship, position], SRC-PROP-LABEL=[professorship]}
P804	{}	{SRC-PROP-DESC=[identification, code, geographic], SRC-PROP-LABEL=[GNIS, Antarctica, ID]}
P805	{SRC-PROP-DESC=[statement], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[item]}
P806	{SRC-PROP-DESC=[cadastre]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[cadastre, Italian, code]}
P807	{INST-FACET=[organization]}	{}
P808	{SEE-ALSO=[cultural heritage], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[Cultural, Bien, Interés]}	{SRC-PROP-DESC=[heritage, Spanish, register], SEE-ALSO=[Inventari del Patrimoni Arquitectònic de Catalunya], SRC-PROP-LABEL=[code], SUB-ITEM=[Bien de Interés Cultural]}
P809	{SRC-PROP-DESC=[Areas, rotected], SRC-PROP-LABEL=[id, A]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[WD]}
P81	{}	{SRC-PROP-DESC=[railway], SRC-PROP-LABEL=[line]}
P811	{SRC-PROP-DESC=[college/university], INST-FACET=[human]}	{SRC-PROP-DESC=[someone, minor]}
P812	{SRC-PROP-DESC=[college/university], INST-FACET=[human]}	{SRC-PROP-DESC=[someone, major]}
P813	{SRC-PROP-DESC=[information, database, website, retrieved]}	{SRC-PROP-DESC=[date, point, time]}
P814	{SRC-PROP-DESC=[Areas, rotected], SRC-PROP-LABEL=[areas, category]}	{SRC-PROP-DESC=[areas, protected], SRC-PROP-LABEL=[IUCN]}
P815	{SRC-PROP-DESC=[Integrated, Taxonomic, Information, System]}	{SRC-PROP-DESC=[Number, unique, Taxonomic, Serial], SRC-PROP-LABEL=[ITIS, TSN], SUB-ITEM=[Integrated Taxonomic Information System]}
P816	{SRC-PROP-DESC=[isotope, radioactive, decay]}	{SRC-PROP-DESC=[isotope], SRC-PROP-LABEL=[decays]}
P817	{SRC-PROP-DESC=[isotope, radioactive], INST-FACET=[qualifier]}	{SRC-PROP-DESC=[type, decay], SRC-PROP-LABEL=[decay, mode]}
P818	{SRC-PROP-DESC=[archive, arXiv, pre-print]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[arXiv, ID], SUB-ITEM=[arXiv ID]}
P819	{SRC-PROP-DESC=[System, Astrophysics, Data]}	{SRC-PROP-DESC=[bibcode], SRC-PROP-LABEL=[ADS]}
P820	{SRC-PROP-DESC=[articles, pre-print]}	{SRC-PROP-DESC=[arXiv, classification], SRC-PROP-LABEL=[arXiv, classification]}
P821	{SRC-PROP-DESC=[Canada], SRC-PROP-LABEL=[Identifier, Unique]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[CGNDB]}
P822	{SRC-PROP-DESC=[university, sports, team]}	{SRC-PROP-DESC=[mascot], SRC-PROP-LABEL=[mascot]}
P823	{SRC-PROP-DESC=[role]}	{SRC-PROP-DESC=[someone, events], SRC-PROP-LABEL=[speaker]}
P824	{SRC-PROP-DESC=[Society, Meteoritical]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[Bulletin, Meteoritical, Database, ID]}
P825	{}	{}
P826	{SRC-PROP-DESC=[composition, musical]}	{SRC-PROP-DESC=[key], SRC-PROP-LABEL=[tonality], SUB-ITEM=[tonality, key]}
P827	{SRC-PROP-DESC=[systems, internal], SRC-PROP-LABEL=[identifier, program]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[BBC], SUB-ITEM=[BBC Programme Identifier]}
P828	{}	{SRC-PROP-DESC=[cause, thing], SRC-PROP-LABEL=[cause]}
P829	{SRC-PROP-DESC=[Sequences, Integer]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[OEIS, ID]}
P830	{SRC-PROP-DESC=[number, reference], SRC-PROP-LABEL=[ID, Life]}	{SRC-PROP-DESC=[item, eol.org], SRC-PROP-LABEL=[Encyclopedia], SUB-ITEM=[Encyclopedia of Life]}
P831	{SRC-PROP-DESC=[team]}	{SRC-PROP-DESC=[parent, club], SRC-PROP-LABEL=[parent, club]}
P832	{SRC-PROP-DESC=[place]}	{SRC-PROP-DESC=[holiday, official, public], SRC-PROP-LABEL=[holiday, public], SUB-ITEM=[public holiday]}
P833	{SRC-PROP-DESC=[passengers, expense, extra, transfer]}	{SRC-PROP-DESC=[station], SRC-PROP-LABEL=[interchange, station]}
P834	{SRC-PROP-DESC=[railway, line]}	{SRC-PROP-DESC=[depot], SRC-PROP-LABEL=[train, depot]}
P835	{}	{SRC-PROP-DESC=[citation], SRC-PROP-LABEL=[author, citation]}
P836	{SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[UK, Government, Statistical, Service], SRC-PROP-LABEL=[GSS]}
P837	{SRC-PROP-LABEL=[occurrence, periodic]}	{SRC-PROP-DESC=[holiday, specific], SRC-PROP-LABEL=[day]}
P838	{SRC-PROP-DESC=[BioLib]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[BioLib, ID], SUB-ITEM=[Biological Library]}
P839	{SRC-PROP-DESC=[roject, Library]}	{SRC-PROP-DESC=[title], SRC-PROP-LABEL=[IMSL, ID]}
P84	{SRC-PROP-DESC=[building], INST-FACET=[work]}	{SRC-PROP-DESC=[person, architectural, firm], SRC-PROP-LABEL=[architect]}
P840	{SRC-PROP-DESC=[location], INST-FACET=[work, geographic location]}	{SRC-PROP-DESC=[narrative], SRC-PROP-LABEL=[set, narrative]}
P841	{SRC-PROP-DESC=[day]}	{SRC-PROP-DESC=[feast, principal], SRC-PROP-LABEL=[feast, day]}
P842	{SRC-PROP-DESC=[microorganisms, plants]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Fossilworks, ID], SUB-ITEM=[Fossilworks]}
P843	{SRC-PROP-DESC=[area], INST-FACET=[authority control], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[National, Institute, Statistics], SRC-PROP-LABEL=[SIRUTA]}
P844	{SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[National, Statistics, Institute], SRC-PROP-LABEL=[UBIGEO]}
P845	{SRC-PROP-DESC=[roperty, Heritage], SEE-ALSO=[cultural heritage], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[identifier, Heritage, roperty]}	{SRC-PROP-DESC=[identifier], SEE-ALSO=[Canadian Register of Historic Places], SRC-PROP-LABEL=[Saskatchewan, Register], SUB-ITEM=[Saskatchewan Register of Heritage Property]}
P846	{}	{SRC-PROP-LABEL=[Biodiversity, Global, Information, Facility, ID], SUB-ITEM=[Global Biodiversity Information Facility]}
P847	{SRC-PROP-LABEL=[designation, aircraft]}	{SRC-PROP-DESC=[aircraft, identifier], SRC-PROP-LABEL=[United, States, Navy]}
P849	{SRC-PROP-DESC=[military, Japanese], SRC-PROP-LABEL=[designation]}	{SRC-PROP-DESC=[aircraft, designation], SRC-PROP-LABEL=[aircraft, Japanese, military]}
P85	{SRC-PROP-DESC=[anthem]}	{SRC-PROP-DESC=[name], SRC-PROP-LABEL=[anthem]}
P850	{SRC-PROP-LABEL=[identifier, Marine, Species]}	{SRC-PROP-LABEL=[World, Register], SUB-ITEM=[World Register of Marine Species]}
P852	{SRC-PROP-DESC=[talk, page], SRC-PROP-LABEL=[rating]}	{SRC-PROP-DESC=[video, North, game, content, rating], SRC-PROP-LABEL=[ESRB]}
P853	{SRC-PROP-DESC=[talk, page], SRC-PROP-LABEL=[rating]}	{SRC-PROP-DESC=[video, Japanese, game, rating, system], SRC-PROP-LABEL=[CERO]}
P854	{SRC-PROP-DESC=[URLs, references]}	{SRC-PROP-DESC=[internet], SRC-PROP-LABEL=[reference, URL]}
P855	{}	{SRC-PROP-LABEL=[Sandbox-URL]}
P856	{SRC-PROP-DESC=[item]}	{SRC-PROP-DESC=[URL], SRC-PROP-LABEL=[website, official], SUB-ITEM=[Uniform Resource Locator]}
P857	{SRC-PROP-DESC=[database, China, National, Knowledge, Infrastructure]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[CNKI]}
P858	{SRC-PROP-DESC=[www.espnscrum.com], SRC-PROP-LABEL=[ID, SCRUM]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[ES, N]}
P859	{SRC-PROP-DESC=[item]}	{SRC-PROP-DESC=[enterprise], SRC-PROP-LABEL=[sponsor], SUB-ITEM=[sponsor]}
P86	{SRC-PROP-DESC=[music], INST-FACET=[work]}	{SRC-PROP-DESC=[person], SRC-PROP-LABEL=[composer], SUB-ITEM=[composer]}
P860	{SRC-PROP-DESC=[e-archiv]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[e-archiv]}
P861	{}	{SRC-PROP-DESC=[identifier, unique], SRC-PROP-LABEL=[premiershiprugby.com, ID]}
P862	{SRC-PROP-DESC=[Ministry, UK, Air], SRC-PROP-LABEL=[Ministry, UK, Air]}	{SRC-PROP-DESC=[specification], SRC-PROP-LABEL=[Requirement, Operational]}
P863	{SRC-PROP-DESC=[project, Ontology]}	{SRC-PROP-DESC=[link], SRC-PROP-LABEL=[hO, identifier]}
P864	{SRC-PROP-DESC=[identifier, Computing, Machinery, Digital, Library, author], SRC-PROP-LABEL=[identifier, author]}	{SRC-PROP-DESC=[Association], SRC-PROP-LABEL=[ACM, Digital, Library]}
P865	{SRC-PROP-DESC=[Online, Musiker-Lexikon]}	{SRC-PROP-DESC=[Bayerisches], SRC-PROP-LABEL=[BMLO]}
P866	{SRC-PROP-DESC=[erlentaucher]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[erlentaucher, ID]}
P867	{SRC-PROP-DESC=[France]}	{SRC-PROP-DESC=[ROME, Code], SRC-PROP-LABEL=[ROME, Occupation, Code]}
P868	{SRC-PROP-DESC=[settlement, certain]}	{SRC-PROP-DESC=[foods], SRC-PROP-LABEL=[foods]}
P87	{SRC-PROP-DESC=[opera]}	{SRC-PROP-DESC=[author], SRC-PROP-LABEL=[librettist]}
P870	{}	{SRC-PROP-DESC=[combination, musical], SRC-PROP-LABEL=[instrumentation]}
P872	{SRC-PROP-DESC=[work, creative]}	{SRC-PROP-DESC=[organization]}
P873	{SRC-PROP-DESC=[phase, point]}	{SRC-PROP-DESC=[point, critical], SRC-PROP-LABEL=[phase, point]}
P874	{SRC-PROP-DESC=[code, hazard, classification], SRC-PROP-LABEL=[class]}	{SRC-PROP-DESC=[UN], SRC-PROP-LABEL=[UN]}
P875	{SRC-PROP-DESC=[classification, code], SRC-PROP-LABEL=[classification, code]}	{SRC-PROP-DESC=[UN], SRC-PROP-LABEL=[UN]}
P876	{SRC-PROP-DESC=[rules, UN, transportation], SRC-PROP-LABEL=[group, packaging]}	{SRC-PROP-DESC=[packaging, code], SRC-PROP-LABEL=[UN]}
P877	{SRC-PROP-DESC=[NF, A], SRC-PROP-LABEL=[A, NF]}	{SRC-PROP-DESC=[A, NF], SRC-PROP-LABEL=[NF, A]}
P878	{SRC-PROP-DESC=[aircraft]}	{SRC-PROP-DESC=[sensors, notable, electronics], SRC-PROP-LABEL=[avionics]}
P879	{SRC-PROP-DESC=[hull]}	{SRC-PROP-DESC=[number, designation], SRC-PROP-LABEL=[pennant, number], SUB-ITEM=[pennant number]}
P88	{SRC-PROP-DESC=[work], INST-FACET=[work]}	{SRC-PROP-DESC=[person, organization]}
P880	{SRC-PROP-DESC=[item]}	{SRC-PROP-DESC=[processing, central, unit], SRC-PROP-LABEL=[C, U]}
P881	{SRC-PROP-DESC=[star, variable], SRC-PROP-LABEL=[star, variable]}	{SRC-PROP-DESC=[type], SRC-PROP-LABEL=[type], SUB-ITEM=[variable star]}
P882	{SRC-PROP-DESC=[S], SRC-PROP-LABEL=[S, FI]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[FI, S]}
P883	{SRC-PROP-LABEL=[S, FI]}	{SRC-PROP-DESC=[identifier, US], SRC-PROP-LABEL=[FI, S]}
P884	{}	{SRC-PROP-DESC=[Body, water, identification, code], SRC-PROP-LABEL=[State, Water, Register, Code]}
P885	{SRC-PROP-DESC=[stream, river], SRC-PROP-LABEL=[watercourse]}	{SRC-PROP-DESC=[source, main], SRC-PROP-LABEL=[origin]}
P886	{SRC-PROP-DESC=[Switzerland]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[LIR]}
P887	{}	{}
P888	{SRC-PROP-DESC=[identifier, stable, periodical, article], SRC-PROP-LABEL=[ID, article]}	{SRC-PROP-DESC=[JSTOR], SRC-PROP-LABEL=[JSTOR]}
P889	{SRC-PROP-DESC=[synopses, brief], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[Mathematical, American, Society, Reviews, Mathematical, published], SRC-PROP-LABEL=[Reviews, Mathematical]}
P892	{SRC-PROP-DESC=[publication], SRC-PROP-LABEL=[identifier, Comments]}	{SRC-PROP-DESC=[Request, Comments], SRC-PROP-LABEL=[Request], SUB-ITEM=[Request for Comments]}
P893	{SRC-PROP-DESC=[SSRN]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Social, Science, Research, Network, ID]}
P894	{SRC-PROP-DESC=[database, zbMath]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[Zentralblatt, MATH]}
P897	{SRC-PROP-LABEL=[designation, Air, Force, aircraft]}	{SRC-PROP-DESC=[aircraft, identifier], SRC-PROP-LABEL=[United, States, Army]}
P898	{SRC-PROP-DESC=[Alphabet, International, honetic]}	{SRC-PROP-DESC=[spelling], SRC-PROP-LABEL=[I]}
P9	{SRC-PROP-DESC=[sister], SUB-PROP=[human], INST-FACET=[human]}	{SUB-PROP=[kinship], SRC-PROP-LABEL=[sister], SUB-ITEM=[sister]}
P901	{SRC-PROP-DESC=[S], SRC-PROP-LABEL=[S, FI]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[FI, S], SUB-ITEM=[FIPS 10-4]}
P902	{SRC-PROP-DESC=[encyclopedia, national]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[HDS]}
P905	{SRC-PROP-DESC=[program, film, television], INST-FACET=[work], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier, ORT-network], SRC-PROP-LABEL=[ORT], SUB-ITEM=[PORT.hu]}
P906	{SRC-PROP-DESC=[number, library, catalog, ID], INST-FACET=[authority control]}	{SRC-PROP-DESC=[Libris], SRC-PROP-LABEL=[SELIBR]}
P907	{SRC-PROP-DESC=[number, game, database, ID]}	{SRC-PROP-DESC=[video, allgame], SRC-PROP-LABEL=[ID, allgame]}
P908	{SRC-PROP-DESC=[talk, page], SRC-PROP-LABEL=[rating]}	{SRC-PROP-DESC=[video, European, game, rating, system], SRC-PROP-LABEL=[EGI]}
P909	{SRC-PROP-DESC=[laces, Historic], INST-FACET=[cultural heritage], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier, unique], SRC-PROP-LABEL=[Nova, Scotia, Register]}
P91	{SRC-PROP-DESC=[it], INST-FACET=[human]}	{SRC-PROP-DESC=[orientation, sexual], SRC-PROP-LABEL=[orientation, sexual], SUB-ITEM=[sexual orientation]}
P910	{SRC-PROP-DESC=[topic]}	{SRC-PROP-DESC=[category, main], SEE-ALSO=[Wikimedia category], SRC-PROP-LABEL=[category, main]}
P911	{SRC-PROP-DESC=[Africa, South], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[ID], SRC-PROP-LABEL=[municipality, South, African]}
P912	{SRC-PROP-DESC=[toilet, car]}	{SRC-PROP-DESC=[item], SRC-PROP-LABEL=[facility]}
P913	{SRC-PROP-DESC=[symbol]}	{SRC-PROP-DESC=[notation, mathematical], SRC-PROP-LABEL=[notation]}
P914	{SRC-PROP-DESC=[talk, page], SRC-PROP-LABEL=[rating]}	{SRC-PROP-DESC=[video, German, game, content, rating], SRC-PROP-LABEL=[USK]}
P915	{SRC-PROP-DESC=[scene/film], INST-FACET=[work]}	{SRC-PROP-DESC=[place, actual], SRC-PROP-LABEL=[location], SUB-ITEM=[filming location]}
P916	{SRC-PROP-DESC=[system, game, content, rating]}	{SRC-PROP-DESC=[video, Taiwanese], SRC-PROP-LABEL=[GSRR, rating]}
P917	{SRC-PROP-DESC=[rockets, Russian, weapons], SRC-PROP-LABEL=[index]}	{SRC-PROP-DESC=[index], SRC-PROP-LABEL=[GRAU]}
P918	{SRC-PROP-DESC=[Canada]}	{SRC-PROP-DESC=[NOC/CN, Code], SRC-PROP-LABEL=[NOC, Occupation, Code]}
P919	{SRC-PROP-DESC=[jobs, US]}	{SRC-PROP-DESC=[Standard, Occupational], SRC-PROP-LABEL=[SOC, Occupation, Code], SUB-ITEM=[Standard Occupational Classification System]}
P92	{}	{SRC-PROP-DESC=[text, rules, main, setting], SRC-PROP-LABEL=[text, main, regulatory]}
P920	{SRC-PROP-LABEL=[libraries, public]}	{SRC-PROP-DESC=[headings, public], SRC-PROP-LABEL=[headings, Spanish]}
P921	{SRC-PROP-DESC=[work], SEE-ALSO=[work], INST-FACET=[work]}	{SRC-PROP-DESC=[topic, primary], SRC-PROP-LABEL=[main]}
P922	{}	{}
P923	{SRC-PROP-DESC=[condition, medical]}	{SRC-PROP-DESC=[examinations], SRC-PROP-LABEL=[examinations, medical]}
P924	{SRC-PROP-DESC=[condition, medical]}	{SRC-PROP-DESC=[treatment], SRC-PROP-LABEL=[treatment, medical]}
P925	{SRC-PROP-DESC=[end, its, presynaptic]}	{SRC-PROP-DESC=[neuron], SRC-PROP-LABEL=[connection, presynaptic]}
P926	{SRC-PROP-DESC=[end, its, postsynaptic]}	{SRC-PROP-DESC=[neuron], SRC-PROP-LABEL=[connection, postsynaptic]}
P927	{SRC-PROP-DESC=[lie, anatomical, feature]}	{SRC-PROP-DESC=[body], SRC-PROP-LABEL=[location, anatomical]}
P928	{SRC-PROP-DESC=[neuron]}	{SRC-PROP-DESC=[neurotransmitter], SRC-PROP-LABEL=[neurotransmitter]}
P929	{SRC-PROP-DESC=[tuples]}	{SRC-PROP-DESC=[model, mathematical], SRC-PROP-LABEL=[color, space]}
P930	{SRC-PROP-DESC=[voltage], SRC-PROP-LABEL=[electrification]}	{SRC-PROP-DESC=[electrification], SRC-PROP-LABEL=[type]}
P931	{SRC-PROP-DESC=[airport], INST-FACET=[geographic location], SRC-PROP-LABEL=[airport]}	{SRC-PROP-DESC=[city, region], SRC-PROP-LABEL=[place]}
P932	{SRC-PROP-DESC=[ubMed, Central]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[MCID], SUB-ITEM=[PubMed Central ID]}
P933	{SRC-PROP-DESC=[Labrador, Newfoundland], INST-FACET=[cultural heritage]}	{SRC-PROP-DESC=[identifier, unique], SRC-PROP-LABEL=[heritagefoundation.ca, ID]}
P935	{SRC-PROP-DESC=[item], SRC-PROP-LABEL=[gallery]}	{SRC-PROP-DESC=[name], SRC-PROP-LABEL=[Commons]}
P937	{SRC-PROP-DESC=[creator, active, was], SEE-ALSO=[geographic location], INST-FACET=[human], SRC-PROP-LABEL=[working, creative]}	{SRC-PROP-DESC=[location], SEE-ALSO=[geographic location], SRC-PROP-LABEL=[location]}
P938	{SRC-PROP-LABEL=[identifier]}	{SRC-PROP-LABEL=[FishBase], SUB-ITEM=[FishBase]}
P939	{INST-FACET=[authority control], SRC-PROP-LABEL=[code]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[KSH]}
P94	{SRC-PROP-DESC=[arms], SRC-PROP-LABEL=[image, arms]}	{SRC-PROP-DESC=[image], SRC-PROP-LABEL=[coat], SUB-ITEM=[coat of arms]}
P940	{SRC-PROP-DESC=[advice], SRC-PROP-LABEL=[statements, precautionary]}	{SRC-PROP-DESC=[code], SRC-PROP-LABEL=[GHS]}
P941	{SRC-PROP-DESC=[work]}	{SRC-PROP-DESC=[work, creative]}
P942	{SRC-PROP-DESC=[licence]}	{SRC-PROP-DESC=[theme, music/song], SRC-PROP-LABEL=[theme, music]}
P943	{SRC-PROP-DESC=[game, video], SUB-PROP=[work]}	{SRC-PROP-DESC=[coder], SUB-PROP=[creator], SRC-PROP-LABEL=[programmer], SUB-ITEM=[programmer]}
P944	{SRC-PROP-DESC=[name, scientific], SRC-PROP-LABEL=[nomenclature]}	{SRC-PROP-DESC=[Code], SRC-PROP-LABEL=[Code]}
P945	{SRC-PROP-DESC=[person, organization]}	{SRC-PROP-DESC=[country], SRC-PROP-LABEL=[allegiance]}
P946	{SRC-PROP-DESC=[Number, Identification]}	{SRC-PROP-DESC=[International, Securities], SRC-PROP-LABEL=[ISIN]}
P947	{SRC-PROP-DESC=[Library, Russian, State], INST-FACET=[authority control], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[RSL]}
P948	{SRC-PROP-DESC=[page, related, Wikivoyage]}	{SRC-PROP-DESC=[banner], SRC-PROP-LABEL=[banner, Wikivoyage]}
P949	{SRC-PROP-DESC=[National, Library], INST-FACET=[authority control], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[authority, control, identifier], SRC-PROP-LABEL=[NLI]}
P950	{SRC-PROP-DESC=[España, Biblioteca, Nacional], INST-FACET=[authority control], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[authority, file], SRC-PROP-LABEL=[BNE]}
P951	{SRC-PROP-DESC=[Library, National, Széchényi], INST-FACET=[authority control]}	{SRC-PROP-DESC=[authority, file], SRC-PROP-LABEL=[NSZL, identifier]}
P952	{SRC-PROP-LABEL=[code, occupation]}	{SRC-PROP-DESC=[International, Standard, Classification, Occupations], SRC-PROP-LABEL=[ISCO]}
P953	{SRC-PROP-DESC=[text, full], INST-FACET=[work]}	{SRC-PROP-LABEL=[text, full]}
P954	{SRC-PROP-DESC=[stations, railway]}	{SRC-PROP-DESC=[station, international, number], SRC-PROP-LABEL=[IBNR, identifier]}
P957	{SRC-PROP-DESC=[variant, ten, digit]}	{SRC-PROP-DESC=[International, Standard, Book, Number], SRC-PROP-LABEL=[ISBN-10], SUB-ITEM=[International Standard Book Number]}
P958	{SRC-PROP-DESC=[information], SRC-PROP-LABEL=[paragraph]}	{SRC-PROP-LABEL=[section, verse]}
P959	{SRC-PROP-DESC=[list, authoritative, comprehensive], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[Species, Mammal], SRC-PROP-LABEL=[MSW], SUB-ITEM=[Mammal Species of the World]}
P960	{SRC-PROP-DESC=[database, Tropicos], SRC-PROP-LABEL=[identifier]}	{SRC-PROP-DESC=[identification, number], SRC-PROP-LABEL=[name], SUB-ITEM=[Tropicos]}
P961	{SRC-PROP-DESC=[list, authoritative, comprehensive], SRC-PROP-LABEL=[name, taxon, identifier]}	{SRC-PROP-DESC=[International, lant, Names, Index, database, is], SRC-PROP-LABEL=[I], SUB-ITEM=[International Plant Names Index]}
P962	{SRC-PROP-DESC=[list, authoritative, comprehensive]}	{SRC-PROP-DESC=[MycoBank, database, is], SRC-PROP-LABEL=[MycoBank, taxon, name, identifier], SUB-ITEM=[MycoBank]}
P963	{SRC-PROP-DESC=[media, stream], SRC-PROP-LABEL=[URL]}	{SRC-PROP-DESC=[URL], SRC-PROP-LABEL=[streaming, media]}
P964	{SRC-PROP-DESC=[Austria]}	{SRC-PROP-DESC=[identifier], SRC-PROP-LABEL=[municipality, Austrian, key]}
P965	{SRC-PROP-DESC=[plot, specific], SRC-PROP-LABEL=[reference, plot]}	{SRC-PROP-DESC=[string, references], SRC-PROP-LABEL=[burial]}
P966	{SRC-PROP-DESC=[encyclopedia, MusicBrainz, open, music], INST-FACET=[authority control], SRC-PROP-LABEL=[ID, label]}	{SRC-PROP-DESC=[label, identifier], SRC-PROP-LABEL=[MusicBrainz]}
P967	{SRC-PROP-LABEL=[honor]}	{SRC-PROP-DESC=[guest, honor], SRC-PROP-LABEL=[guest]}
P968	{}	{SRC-PROP-DESC=[address, e-mail], SRC-PROP-LABEL=[e-mail]}
P969	{SRC-PROP-DESC=[located, is], SEE-ALSO=[geographic location]}	{SRC-PROP-DESC=[street], SRC-PROP-LABEL=[street, address]}
P97	{SRC-PROP-DESC=[person], INST-FACET=[human]}	{SRC-PROP-DESC=[royal], SRC-PROP-LABEL=[title, noble]}
P970	{SRC-PROP-DESC=[structure, neurological]}	{SRC-PROP-DESC=[function], SRC-PROP-LABEL=[function, neurological]}
